Ensembl,Disease_1,Disease_2,Disease_3
ENSG00000278566,1,0,0
ENSG00000273547,1,1,0
ENSG00000187634,56,57,16
ENSG00000188976,143,159,54
ENSG00000187961,1,1,7
ENSG00000187583,0,0,0
ENSG00000187642,0,0,0
ENSG00000188290,15,19,3
ENSG00000187608,307,230,129
ENSG00000188157,108,114,62
ENSG00000237330,1,1,3
ENSG00000131591,52,27,36
ENSG00000162571,7,1,5
ENSG00000186891,8,5,9
ENSG00000186827,4,3,21
ENSG00000078808,819,689,370
ENSG00000176022,41,26,21
ENSG00000184163,4,2,0
ENSG00000160087,83,64,21
ENSG00000162572,34,23,52
ENSG00000131584,110,84,42
ENSG00000169972,57,47,48
ENSG00000127054,207,149,178
ENSG00000224051,249,214,28
ENSG00000169962,17,11,0
ENSG00000107404,140,130,17
ENSG00000162576,24,16,11
ENSG00000175756,738,618,266
ENSG00000221978,503,410,211
ENSG00000242485,355,249,209
ENSG00000235098,12,9,22
ENSG00000179403,172,160,197
ENSG00000215915,102,86,17
ENSG00000160072,54,61,23
ENSG00000197785,96,84,19
ENSG00000205090,0,0,0
ENSG00000160075,580,460,143
ENSG00000228594,2,6,0
ENSG00000197530,142,119,21
ENSG00000189409,21,24,2
ENSG00000248333,71,55,58
ENSG00000189339,160,111,71
ENSG00000008128,43,30,57
ENSG00000215790,16,8,5
ENSG00000008130,330,269,61
ENSG00000078369,253,226,295
ENSG00000169885,0,0,0
ENSG00000178821,15,13,0
ENSG00000142609,20,19,33
ENSG00000187730,0,0,0
ENSG00000067606,102,70,50
ENSG00000162585,352,269,205
ENSG00000157933,51,50,41
ENSG00000116151,61,47,3
ENSG00000157916,598,492,183
ENSG00000157911,229,172,69
ENSG00000149527,48,36,3
ENSG00000157881,43,40,30
ENSG00000157873,456,337,164
ENSG00000157870,24,18,40
ENSG00000142606,5,5,5
ENSG00000215912,2,0,8
ENSG00000142611,4,4,3
ENSG00000130762,8,8,0
ENSG00000162591,34,14,0
ENSG00000158109,264,197,128
ENSG00000116213,24,21,32
ENSG00000078900,39,25,0
ENSG00000162592,3,10,0
ENSG00000235169,45,33,16
ENSG00000130764,152,127,86
ENSG00000116198,123,84,45
ENSG00000169598,11,20,19
ENSG00000198912,75,64,24
ENSG00000196581,2,3,0
ENSG00000131697,53,31,0
ENSG00000069424,92,90,41
ENSG00000116254,0,2,1
ENSG00000116251,671,570,513
