Ensembl,Symbol,Disease_1,Disease_2,Disease_3
ENSG00000278566,OR4F29,1,0,0
ENSG00000273547,OR4F16,1,1,0
ENSG00000187634,SAMD11,56,57,16
ENSG00000188976,NOC2L,143,159,54
ENSG00000187961,KLHL17,1,1,7
ENSG00000187583,PLEKHN1,0,0,0
ENSG00000187642,PERM1,0,0,0
ENSG00000188290,HES4,15,19,3
ENSG00000187608,ISG15,307,230,129
ENSG00000188157,AGRN,108,114,62
ENSG00000237330,RNF223,1,1,3
ENSG00000131591,C1orf159,52,27,36
ENSG00000162571,TTLL10,7,1,5
ENSG00000186891,TNFRSF18,8,5,9
ENSG00000186827,TNFRSF4,4,3,21
ENSG00000078808,SDF4,819,689,370
ENSG00000176022,B3GALT6,41,26,21
ENSG00000184163,C1QTNF12,4,2,0
ENSG00000160087,UBE2J2,83,64,21
ENSG00000162572,SCNN1D,34,23,52
ENSG00000131584,ACAP3,110,84,42
ENSG00000169972,PUSL1,57,47,48
ENSG00000127054,INTS11,207,149,178
ENSG00000224051,CPTP,249,214,28
ENSG00000169962,TAS1R3,17,11,0
ENSG00000107404,DVL1,140,130,17
ENSG00000162576,MXRA8,24,16,11
ENSG00000175756,AURKAIP1,738,618,266
ENSG00000221978,CCNL2,503,410,211
ENSG00000242485,MRPL20,355,249,209
ENSG00000235098,ANKRD65,12,9,22
ENSG00000179403,VWA1,172,160,197
ENSG00000215915,ATAD3C,102,86,17
ENSG00000160072,ATAD3B,54,61,23
ENSG00000197785,ATAD3A,96,84,19
ENSG00000205090,TMEM240,0,0,0
ENSG00000160075,SSU72,580,460,143
ENSG00000228594,FNDC10,2,6,0
ENSG00000197530,MIB2,142,119,21
ENSG00000189409,MMP23B,21,24,2
ENSG00000248333,CDK11B,71,55,58
ENSG00000189339,SLC35E2B,160,111,71
ENSG00000008128,CDK11A,43,30,57
ENSG00000215790,SLC35E2,16,8,5
ENSG00000008130,NADK,330,269,61
ENSG00000078369,GNB1,253,226,295
ENSG00000169885,CALML6,0,0,0
ENSG00000178821,TMEM52,15,13,0
ENSG00000142609,CFAP74,20,19,33
ENSG00000187730,GABRD,0,0,0
ENSG00000067606,PRKCZ,102,70,50
ENSG00000162585,FAAP20,352,269,205
ENSG00000157933,SKI,51,50,41
ENSG00000116151,MORN1,61,47,3
ENSG00000157916,RER1,598,492,183
ENSG00000157911,PEX10,229,172,69
ENSG00000149527,PLCH2,48,36,3
ENSG00000157881,PANK4,43,40,30
ENSG00000157873,TNFRSF14,456,337,164
ENSG00000157870,FAM213B,24,18,40
ENSG00000142606,MMEL1,5,5,5
ENSG00000215912,TTC34,2,0,8
ENSG00000142611,PRDM16,4,4,3
ENSG00000130762,ARHGEF16,8,8,0
ENSG00000162591,MEGF6,34,14,0
ENSG00000158109,TPRG1L,264,197,128
ENSG00000116213,WRAP73,24,21,32
ENSG00000078900,TP73,39,25,0
ENSG00000162592,CCDC27,3,10,0
ENSG00000235169,SMIM1,45,33,16
ENSG00000130764,LRRC47,152,127,86
ENSG00000116198,CEP104,123,84,45
ENSG00000169598,DFFB,11,20,19
ENSG00000198912,C1orf174,75,64,24
ENSG00000196581,AJAP1,2,3,0
ENSG00000131697,NPHP4,53,31,0
ENSG00000069424,KCNAB2,92,90,41
ENSG00000116254,CHD5,0,2,1
ENSG00000116251,RPL22,671,570,513
ENSG00000158286,RNF207,44,29,74
ENSG00000116237,ICMT,102,81,34
ENSG00000158292,GPR153,51,26,0
ENSG00000097021,ACOT7,103,95,33
ENSG00000069812,HES2,28,26,38
ENSG00000187017,ESPN,377,256,132
ENSG00000215788,TNFRSF25,21,17,15
ENSG00000171680,PLEKHG5,7,8,5
