Ensembl,Symbol,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000278566,OR4F29,0,1,0,0
ENSG00000273547,OR4F16,0,0,3,1
ENSG00000187634,SAMD11,33,33,72,25
ENSG00000188976,NOC2L,160,126,159,48
ENSG00000187961,KLHL17,13,11,1,9
ENSG00000187583,PLEKHN1,0,0,0,1
ENSG00000187642,PERM1,0,0,0,0
ENSG00000188290,HES4,1,0,0,1
ENSG00000187608,ISG15,5,8,53,370
ENSG00000188157,AGRN,187,168,22,26
ENSG00000237330,RNF223,5,4,2,0
ENSG00000131591,C1orf159,0,0,24,7
ENSG00000162571,TTLL10,8,7,1,5
ENSG00000186891,TNFRSF18,0,0,0,0
ENSG00000186827,TNFRSF4,0,0,0,0
ENSG00000078808,SDF4,326,294,795,382
ENSG00000176022,B3GALT6,18,10,8,53
ENSG00000184163,C1QTNF12,0,0,0,0
ENSG00000160087,UBE2J2,196,146,159,60
ENSG00000162572,SCNN1D,4,7,0,21
ENSG00000131584,ACAP3,127,123,18,58
ENSG00000169972,PUSL1,6,9,65,43
ENSG00000127054,INTS11,50,48,214,103
ENSG00000224051,CPTP,85,79,128,63
ENSG00000169962,TAS1R3,6,4,8,3
ENSG00000107404,DVL1,154,162,35,45
ENSG00000162576,MXRA8,0,1,36,2
ENSG00000175756,AURKAIP1,368,338,414,361
ENSG00000221978,CCNL2,263,286,208,193
ENSG00000242485,MRPL20,165,125,402,333
ENSG00000235098,ANKRD65,0,0,2,4
ENSG00000179403,VWA1,70,74,216,165
ENSG00000215915,ATAD3C,67,99,7,17
ENSG00000160072,ATAD3B,17,24,34,17
ENSG00000197785,ATAD3A,16,30,56,50
ENSG00000205090,TMEM240,0,0,0,0
ENSG00000160075,SSU72,333,303,319,414
ENSG00000228594,FNDC10,0,0,0,3
ENSG00000197530,MIB2,158,117,60,53
ENSG00000189409,MMP23B,1,3,12,11
ENSG00000248333,CDK11B,163,167,46,75
ENSG00000189339,SLC35E2B,123,145,79,146
ENSG00000008128,CDK11A,160,158,25,41
ENSG00000215790,SLC35E2,9,15,5,6
ENSG00000008130,NADK,151,127,199,241
ENSG00000078369,GNB1,207,196,278,314
ENSG00000169885,CALML6,14,12,0,2
ENSG00000178821,TMEM52,0,0,0,32
ENSG00000142609,CFAP74,69,62,8,14
ENSG00000187730,GABRD,0,0,0,0
ENSG00000067606,PRKCZ,10,11,50,66
ENSG00000162585,FAAP20,137,115,99,114
ENSG00000157933,SKI,20,20,31,38
ENSG00000116151,MORN1,15,18,12,7
ENSG00000157916,RER1,150,140,755,252
ENSG00000157911,PEX10,9,10,164,91
ENSG00000149527,PLCH2,0,0,37,4
ENSG00000157881,PANK4,9,8,27,32
ENSG00000157873,TNFRSF14,85,98,227,95
ENSG00000157870,FAM213B,6,4,49,23
ENSG00000142606,MMEL1,0,0,11,6
ENSG00000215912,TTC34,22,15,0,0
ENSG00000142611,PRDM16,16,9,4,5
ENSG00000130762,ARHGEF16,161,115,0,27
ENSG00000162591,MEGF6,6,5,5,13
ENSG00000158109,TPRG1L,107,95,216,292
ENSG00000116213,WRAP73,26,34,119,31
ENSG00000078900,TP73,19,13,10,3
ENSG00000162592,CCDC27,0,0,0,0
ENSG00000235169,SMIM1,16,19,11,8
ENSG00000130764,LRRC47,94,101,118,133
ENSG00000116198,CEP104,260,228,35,51
ENSG00000169598,DFFB,36,47,6,29
ENSG00000198912,C1orf174,35,27,11,21
ENSG00000196581,AJAP1,1,2,0,1
ENSG00000131697,NPHP4,10,6,43,0
ENSG00000069424,KCNAB2,45,44,72,23
ENSG00000116254,CHD5,0,1,0,0
ENSG00000116251,RPL22,446,385,853,594
ENSG00000158286,RNF207,86,80,7,19
ENSG00000116237,ICMT,29,31,82,56
ENSG00000158292,GPR153,0,1,0,5
ENSG00000097021,ACOT7,16,12,54,36
ENSG00000069812,HES2,77,52,10,18
ENSG00000187017,ESPN,15,28,81,71
ENSG00000215788,TNFRSF25,16,11,8,7
ENSG00000171680,PLEKHG5,1,2,0,5
ENSG00000162408,NOL9,116,142,24,71
ENSG00000204859,ZBTB48,92,88,64,31
ENSG00000162413,KLHL21,662,600,91,94
ENSG00000116273,PHF13,5,3,41,29
ENSG00000041988,THAP3,150,145,51,73
ENSG00000007923,DNAJC11,59,58,53,51
ENSG00000171735,CAMTA1,107,89,213,186
ENSG00000049245,VAMP3,190,169,339,79
ENSG00000049246,PER3,248,239,37,152
ENSG00000049247,UTS2,20,15,13,15
ENSG00000049249,TNFRSF9,25,36,2,4
ENSG00000116288,PARK7,369,338,1495,729
ENSG00000116285,ERRFI1,612,589,366,315
ENSG00000162426,SLC45A1,0,0,0,0
ENSG00000142599,RERE,233,225,69,126
ENSG00000074800,ENO1,679,669,3572,1078
ENSG00000131686,CA6,11,10,0,8
ENSG00000142583,SLC2A5,20,26,5,8
ENSG00000180758,GPR157,64,63,33,38
ENSG00000049239,H6PD,658,589,425,572
ENSG00000171621,SPSB1,0,0,55,100
ENSG00000171612,SLC25A33,72,59,219,37
ENSG00000188807,TMEM201,6,5,8,5
ENSG00000171608,PIK3CD,37,43,12,25
ENSG00000171603,CLSTN1,68,61,102,48
ENSG00000178585,CTNNBIP1,16,13,52,14
ENSG00000162441,LZIC,33,36,77,47
ENSG00000173614,NMNAT1,133,134,33,37
ENSG00000162444,RBP7,49,38,37,69
ENSG00000130939,UBE4B,97,86,87,36
ENSG00000054523,KIF1B,266,255,97,182
ENSG00000142657,PGD,35,45,338,421
ENSG00000251503,APITD1-CORT,17,16,36,2
ENSG00000175279,CENPS,16,16,37,10
ENSG00000241563,CORT,14,11,5,0
ENSG00000160049,DFFA,275,247,126,178
ENSG00000142655,PEX14,76,68,36,47
ENSG00000130940,CASZ1,37,36,29,10
ENSG00000175262,C1orf127,7,5,0,0
ENSG00000120948,TARDBP,254,253,616,343
ENSG00000277726,AL109811.4,141,114,163,118
ENSG00000009724,MASP2,525,429,1022,921
ENSG00000116649,SRM,47,50,149,80
ENSG00000171824,EXOSC10,98,72,137,117
ENSG00000198793,MTOR,123,99,76,159
ENSG00000171819,ANGPTL7,0,0,0,0
ENSG00000120942,UBIAD1,28,21,90,26
ENSG00000204624,DISP3,0,0,0,0
ENSG00000116661,FBXO2,0,0,92,112
ENSG00000132879,FBXO44,85,67,9,72
ENSG00000116663,FBXO6,19,32,19,39
ENSG00000116670,MAD2L2,105,123,192,156
ENSG00000162490,DRAXIN,53,62,4,11
ENSG00000177674,AGTRAP,0,0,31,21
ENSG00000215910,C1orf167,79,66,6,23
ENSG00000177000,MTHFR,286,228,76,73
ENSG00000011021,CLCN6,29,49,46,58
ENSG00000175206,NPPA,6,5,4,1
ENSG00000120937,NPPB,0,0,0,0
ENSG00000116685,KIAA2013,66,39,196,253
ENSG00000083444,PLOD1,316,305,399,475
ENSG00000116688,MFN2,226,202,194,222
ENSG00000116691,MIIP,29,32,13,63
ENSG00000120949,TNFRSF8,0,0,0,0
ENSG00000028137,TNFRSF1B,56,48,95,54
ENSG00000048707,VPS13D,125,112,53,102
ENSG00000162496,DHRS3,781,693,1303,886
ENSG00000157330,C1orf158,10,9,0,4
ENSG00000116726,PRAMEF12,0,0,0,0
ENSG00000239810,PRAMEF11,0,0,0,0
ENSG00000179172,HNRNPCL1,3,3,9,2
ENSG00000243073,PRAMEF4,0,0,0,0
ENSG00000187545,PRAMEF10,0,0,1,3
ENSG00000204510,PRAMEF7,0,0,0,0
ENSG00000232423,PRAMEF6,0,0,0,0
ENSG00000280267,PRAMEF26,0,0,0,0
ENSG00000274764,PRAMEF27,0,0,0,0
ENSG00000229571,PRAMEF25,0,0,0,0
ENSG00000277058,HNRNPCL3,0,0,1,0
ENSG00000275774,HNRNPCL2,2,1,1,0
ENSG00000179412,HNRNPCL4,0,0,0,0
ENSG00000204505,PRAMEF9,0,0,0,0
ENSG00000270601,PRAMEF5,0,0,0,0
ENSG00000182330,PRAMEF8,0,0,0,0
ENSG00000204501,PRAMEF15,0,0,0,0
ENSG00000204481,PRAMEF14,0,0,0,0
ENSG00000204479,PRAMEF17,0,0,0,3
ENSG00000162494,LRRC38,0,0,0,0
ENSG00000162493,PDPN,4,8,0,0
ENSG00000116731,PRDM2,137,125,137,114
ENSG00000189337,KAZN,22,26,1,10
ENSG00000171729,TMEM51,0,0,60,5
ENSG00000142621,FHAD1,19,17,0,5
ENSG00000142634,EFHD2,110,134,89,52
ENSG00000162438,CTRC,49,40,1,13
ENSG00000142615,CELA2A,13,10,1,5
ENSG00000215704,CELA2B,0,0,0,0
ENSG00000132906,CASP9,4,7,17,6
ENSG00000116138,DNAJC16,121,105,114,167
ENSG00000116771,AGMAT,267,266,128,224
ENSG00000197312,DDI2,443,457,267,489
ENSG00000215695,RSC1A1,107,105,36,77
ENSG00000116786,PLEKHM2,40,42,58,40
ENSG00000162461,SLC25A34,13,15,4,3
ENSG00000162460,TMEM82,152,154,0,64
ENSG00000162458,FBLIM1,77,89,34,26
ENSG00000233954,UQCRHL,12,18,78,31
ENSG00000065526,SPEN,307,276,148,131
ENSG00000116809,ZBTB17,12,10,6,36
ENSG00000183888,C1orf64,18,16,0,1
ENSG00000173641,HSPB7,0,0,1,0
ENSG00000186510,CLCNKA,0,0,0,0
ENSG00000184908,CLCNKB,0,0,0,0
ENSG00000185519,FAM131C,0,0,3,0
ENSG00000142627,EPHA2,81,84,20,33
ENSG00000142632,ARHGEF19,0,0,9,4
ENSG00000132881,RSG1,0,0,4,0
ENSG00000037637,FBXO42,38,30,31,36
ENSG00000055070,SZRD1,104,105,303,158
ENSG00000187144,SPATA21,24,20,121,44
ENSG00000157191,NECAP2,90,90,160,47
ENSG00000219481,NBPF1,111,112,135,126
ENSG00000058453,CROCC,16,18,41,20
ENSG00000117122,MFAP2,0,0,18,25
ENSG00000159363,ATP13A2,104,87,22,25
ENSG00000117118,SDHB,696,650,691,934
ENSG00000117115,PADI2,10,12,1,3
ENSG00000142623,PADI1,0,0,0,0
ENSG00000159339,PADI4,7,10,0,2
ENSG00000179051,RCC2,42,34,94,32
ENSG00000074964,ARHGEF10L,294,239,250,186
ENSG00000117148,ACTL8,0,0,0,0
ENSG00000117154,IGSF21,0,0,2,0
ENSG00000179023,KLHDC7A,0,0,2,52
ENSG00000009709,PAX7,0,0,0,0
ENSG00000255275,AL080251.1,95,62,195,116
