Ensembl,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000278566,0,1,0,0
ENSG00000273547,0,0,3,1
ENSG00000187634,33,33,72,25
ENSG00000188976,160,126,159,48
ENSG00000187961,13,11,1,9
ENSG00000187583,0,0,0,1
ENSG00000187642,0,0,0,0
ENSG00000188290,1,0,0,1
ENSG00000187608,5,8,53,370
ENSG00000188157,187,168,22,26
ENSG00000237330,5,4,2,0
ENSG00000131591,0,0,24,7
ENSG00000162571,8,7,1,5
ENSG00000186891,0,0,0,0
ENSG00000186827,0,0,0,0
ENSG00000078808,326,294,795,382
ENSG00000176022,18,10,8,53
ENSG00000184163,0,0,0,0
ENSG00000160087,196,146,159,60
ENSG00000162572,4,7,0,21
ENSG00000131584,127,123,18,58
ENSG00000169972,6,9,65,43
ENSG00000127054,50,48,214,103
ENSG00000224051,85,79,128,63
ENSG00000169962,6,4,8,3
ENSG00000107404,154,162,35,45
ENSG00000162576,0,1,36,2
ENSG00000175756,368,338,414,361
ENSG00000221978,263,286,208,193
ENSG00000242485,165,125,402,333
ENSG00000235098,0,0,2,4
ENSG00000179403,70,74,216,165
ENSG00000215915,67,99,7,17
ENSG00000160072,17,24,34,17
ENSG00000197785,16,30,56,50
ENSG00000205090,0,0,0,0
ENSG00000160075,333,303,319,414
ENSG00000228594,0,0,0,3
ENSG00000197530,158,117,60,53
ENSG00000189409,1,3,12,11
ENSG00000248333,163,167,46,75
ENSG00000189339,123,145,79,146
ENSG00000008128,160,158,25,41
ENSG00000215790,9,15,5,6
ENSG00000008130,151,127,199,241
ENSG00000078369,207,196,278,314
ENSG00000169885,14,12,0,2
ENSG00000178821,0,0,0,32
ENSG00000142609,69,62,8,14
ENSG00000187730,0,0,0,0
ENSG00000067606,10,11,50,66
ENSG00000162585,137,115,99,114
ENSG00000157933,20,20,31,38
ENSG00000116151,15,18,12,7
ENSG00000157916,150,140,755,252
ENSG00000157911,9,10,164,91
ENSG00000149527,0,0,37,4
ENSG00000157881,9,8,27,32
ENSG00000157873,85,98,227,95
ENSG00000157870,6,4,49,23
ENSG00000142606,0,0,11,6
ENSG00000215912,22,15,0,0
ENSG00000142611,16,9,4,5
ENSG00000130762,161,115,0,27
ENSG00000162591,6,5,5,13
ENSG00000158109,107,95,216,292
ENSG00000116213,26,34,119,31
ENSG00000078900,19,13,10,3
ENSG00000162592,0,0,0,0
ENSG00000235169,16,19,11,8
ENSG00000130764,94,101,118,133
ENSG00000116198,260,228,35,51
ENSG00000169598,36,47,6,29
ENSG00000198912,35,27,11,21
ENSG00000196581,1,2,0,1
ENSG00000131697,10,6,43,0
ENSG00000069424,45,44,72,23
ENSG00000116254,0,1,0,0
ENSG00000116251,446,385,853,594
ENSG00000158286,86,80,7,19
ENSG00000116237,29,31,82,56
ENSG00000158292,0,1,0,5
ENSG00000097021,16,12,54,36
ENSG00000069812,77,52,10,18
ENSG00000187017,15,28,81,71
ENSG00000215788,16,11,8,7
ENSG00000171680,1,2,0,5
ENSG00000162408,116,142,24,71
ENSG00000204859,92,88,64,31
ENSG00000162413,662,600,91,94
ENSG00000116273,5,3,41,29
ENSG00000041988,150,145,51,73
ENSG00000007923,59,58,53,51
ENSG00000171735,107,89,213,186
ENSG00000049245,190,169,339,79
ENSG00000049246,248,239,37,152
ENSG00000049247,20,15,13,15
ENSG00000049249,25,36,2,4
ENSG00000116288,369,338,1495,729
ENSG00000116285,612,589,366,315
ENSG00000162426,0,0,0,0
ENSG00000142599,233,225,69,126
ENSG00000074800,679,669,3572,1078
ENSG00000131686,11,10,0,8
ENSG00000142583,20,26,5,8
ENSG00000180758,64,63,33,38
ENSG00000049239,658,589,425,572
ENSG00000171621,0,0,55,100
ENSG00000171612,72,59,219,37
ENSG00000188807,6,5,8,5
ENSG00000171608,37,43,12,25
ENSG00000171603,68,61,102,48
ENSG00000178585,16,13,52,14
ENSG00000162441,33,36,77,47
ENSG00000173614,133,134,33,37
ENSG00000162444,49,38,37,69
ENSG00000130939,97,86,87,36
ENSG00000054523,266,255,97,182
ENSG00000142657,35,45,338,421
ENSG00000251503,17,16,36,2
ENSG00000175279,16,16,37,10
ENSG00000241563,14,11,5,0
ENSG00000160049,275,247,126,178
ENSG00000142655,76,68,36,47
ENSG00000130940,37,36,29,10
ENSG00000175262,7,5,0,0
ENSG00000120948,254,253,616,343
ENSG00000277726,141,114,163,118
ENSG00000009724,525,429,1022,921
ENSG00000116649,47,50,149,80
ENSG00000171824,98,72,137,117
ENSG00000198793,123,99,76,159
ENSG00000171819,0,0,0,0
ENSG00000120942,28,21,90,26
ENSG00000204624,0,0,0,0
ENSG00000116661,0,0,92,112
ENSG00000132879,85,67,9,72
ENSG00000116663,19,32,19,39
ENSG00000116670,105,123,192,156
ENSG00000162490,53,62,4,11
ENSG00000177674,0,0,31,21
ENSG00000215910,79,66,6,23
ENSG00000177000,286,228,76,73
ENSG00000011021,29,49,46,58
ENSG00000175206,6,5,4,1
ENSG00000120937,0,0,0,0
ENSG00000116685,66,39,196,253
ENSG00000083444,316,305,399,475
ENSG00000116688,226,202,194,222
ENSG00000116691,29,32,13,63
ENSG00000120949,0,0,0,0
ENSG00000028137,56,48,95,54
ENSG00000048707,125,112,53,102
ENSG00000162496,781,693,1303,886
ENSG00000157330,10,9,0,4
ENSG00000116726,0,0,0,0
ENSG00000239810,0,0,0,0
ENSG00000179172,3,3,9,2
ENSG00000243073,0,0,0,0
ENSG00000187545,0,0,1,3
ENSG00000204510,0,0,0,0
ENSG00000232423,0,0,0,0
ENSG00000280267,0,0,0,0
ENSG00000274764,0,0,0,0
ENSG00000229571,0,0,0,0
ENSG00000277058,0,0,1,0
ENSG00000275774,2,1,1,0
ENSG00000179412,0,0,0,0
ENSG00000204505,0,0,0,0
ENSG00000270601,0,0,0,0
ENSG00000182330,0,0,0,0
ENSG00000204501,0,0,0,0
ENSG00000204481,0,0,0,0
ENSG00000204479,0,0,0,3
ENSG00000162494,0,0,0,0
ENSG00000162493,4,8,0,0
ENSG00000116731,137,125,137,114
ENSG00000189337,22,26,1,10
ENSG00000171729,0,0,60,5
ENSG00000142621,19,17,0,5
ENSG00000142634,110,134,89,52
ENSG00000162438,49,40,1,13
ENSG00000142615,13,10,1,5
ENSG00000215704,0,0,0,0
ENSG00000132906,4,7,17,6
ENSG00000116138,121,105,114,167
ENSG00000116771,267,266,128,224
ENSG00000197312,443,457,267,489
ENSG00000215695,107,105,36,77
ENSG00000116786,40,42,58,40
ENSG00000162461,13,15,4,3
ENSG00000162460,152,154,0,64
ENSG00000162458,77,89,34,26
ENSG00000233954,12,18,78,31
ENSG00000065526,307,276,148,131
ENSG00000116809,12,10,6,36
ENSG00000183888,18,16,0,1
ENSG00000173641,0,0,1,0
ENSG00000186510,0,0,0,0
ENSG00000184908,0,0,0,0
ENSG00000185519,0,0,3,0
ENSG00000142627,81,84,20,33
ENSG00000142632,0,0,9,4
ENSG00000132881,0,0,4,0
ENSG00000037637,38,30,31,36
ENSG00000055070,104,105,303,158
ENSG00000187144,24,20,121,44
ENSG00000157191,90,90,160,47
ENSG00000219481,111,112,135,126
ENSG00000058453,16,18,41,20
ENSG00000117122,0,0,18,25
ENSG00000159363,104,87,22,25
ENSG00000117118,696,650,691,934
ENSG00000117115,10,12,1,3
ENSG00000142623,0,0,0,0
ENSG00000159339,7,10,0,2
ENSG00000179051,42,34,94,32
ENSG00000074964,294,239,250,186
ENSG00000117148,0,0,0,0
ENSG00000117154,0,0,2,0
ENSG00000179023,0,0,2,52
ENSG00000009709,0,0,0,0
ENSG00000255275,95,62,195,116
ENSG00000159423,522,424,862,999
ENSG00000169991,8,6,22,38
ENSG00000127481,802,742,210,412
ENSG00000127463,115,104,338,68
ENSG00000053372,124,109,69,103
ENSG00000162482,634,548,226,213
ENSG00000053371,119,102,167,126
ENSG00000040487,142,112,94,29
ENSG00000077549,150,153,468,265
ENSG00000173436,173,139,375,184
ENSG00000270136,85,54,258,122
ENSG00000158747,0,4,3,5
